"Statistic Label","Census Year","Ethnicity","Citizenship","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","All citizenships","Number","5084879"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Ireland","Number","4283490"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Croatia","Number","13649"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","France","Number","13893"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Germany","Number","12390"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Italy","Number","18319"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Latvia","Number","18300"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Lithuania","Number","31177"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Poland","Number","93680"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Romania","Number","43323"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Spain","Number","17953"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Ukraine","Number","11791"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","United Kingdom of Great Britain and Northern Ireland (the)","Number","83347"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Other EU27 (2020)","Number","50225"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Rest of Europe(1)","Number","13482"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Africa","Number","34761"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","China","Number","13050"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","India","Number","45449"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Other Asia(1)","Number","41820"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Australia","Number","3481"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","United States of America (the)","Number","13412"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Brazil","Number","27338"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Other America(1)","Number","12988"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Other countries","Number","5423"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Multiple/Dual citizenship","Number","12534"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","No citizenship","Number","8126"
"Population Usually Resident and Present in the State","2022","All ethnic or cultural backgrounds","Citizenship not stated","Number","161478"
"Population Usually Resident and Present in the State","2022","White Irish","All citizenships","Number","3893056"
"Population Usually Resident and Present in the State","2022","White Irish","Ireland","Number","3861283"
"Population Usually Resident and Present in the State","2022","White Irish","Croatia","Number","59"
"Population Usually Resident and Present in the State","2022","White Irish","France","Number","164"
"Population Usually Resident and Present in the State","2022","White Irish","Germany","Number","153"
"Population Usually Resident and Present in the State","2022","White Irish","Italy","Number","141"
"Population Usually Resident and Present in the State","2022","White Irish","Latvia","Number","176"
