"Statistic Label","Month","County","Driving Test Categories","UNIT","VALUE"
"Driving Tests Delivered","2021 January","Ireland","All Test Categories","Number","13103"
"Driving Tests Delivered","2021 January","Ireland","Category B (Car or light van)","Number","12102"
"Driving Tests Delivered","2021 January","Ireland","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Ireland","Category A1 (Motorcycle - low power)","Number","8"
"Driving Tests Delivered","2021 January","Ireland","Category A2 (Motorcycle - medium power)","Number","19"
"Driving Tests Delivered","2021 January","Ireland","Category A (Motorcycle All)","Number","172"
"Driving Tests Delivered","2021 January","Ireland","Category BE (Car with Trailer)","Number","141"
"Driving Tests Delivered","2021 January","Ireland","Category C1 (Small truck / large van)","Number","32"
"Driving Tests Delivered","2021 January","Ireland","Category C1E (Small truck / large van with trailer)","Number","3"
"Driving Tests Delivered","2021 January","Ireland","Category C (Truck)","Number","256"
"Driving Tests Delivered","2021 January","Ireland","Category CE (Articulated Truck)","Number","116"
"Driving Tests Delivered","2021 January","Ireland","Category D1 (Minibus)","Number","15"
"Driving Tests Delivered","2021 January","Ireland","Category D1E (Minibus with trailer)","Number","1"
"Driving Tests Delivered","2021 January","Ireland","Category D (Bus)","Number","120"
"Driving Tests Delivered","2021 January","Ireland","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Ireland","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Ireland","CPC Practical Test (Bus)","Number","57"
"Driving Tests Delivered","2021 January","Ireland","CPC Practical Test (Truck/Artic)","Number","61"
"Driving Tests Delivered","2021 January","Co. Clare","All Test Categories","Number","352"
"Driving Tests Delivered","2021 January","Co. Clare","Category B (Car or light van)","Number","327"
"Driving Tests Delivered","2021 January","Co. Clare","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Clare","Category A1 (Motorcycle - low power)","Number","1"
"Driving Tests Delivered","2021 January","Co. Clare","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Clare","Category A (Motorcycle All)","Number","7"
"Driving Tests Delivered","2021 January","Co. Clare","Category BE (Car with Trailer)","Number","13"
"Driving Tests Delivered","2021 January","Co. Clare","Category C1 (Small truck / large van)","Number","2"
