"Statistic Label","Year Daily Expense Allowance Activity Started","Country of Nationality","UNIT","VALUE"
"International protection persons","2016","Afghanistan","Number","136"
"International protection persons","2016","Albania","Number","124"
"International protection persons","2016","Algeria","Number","53"
"International protection persons","2016","Bangladesh","Number","72"
"International protection persons","2016","Botswana","Number",""
"International protection persons","2016","Congo (the Democratic Republic of the)","Number","101"
"International protection persons","2016","Egypt","Number","11"
"International protection persons","2016","El Salvador","Number",""
"International protection persons","2016","Georgia","Number","47"
"International protection persons","2016","Ghana","Number","22"
"International protection persons","2016","Iraq","Number","86"
"International protection persons","2016","Jordan","Number",""
"International protection persons","2016","Malawi","Number","73"
"International protection persons","2016","Morocco","Number","10"
"International protection persons","2016","Nigeria","Number","273"
"International protection persons","2016","Pakistan","Number","232"
"International protection persons","2016","Palestine, State of","Number","14"
"International protection persons","2016","Somalia","Number","47"
"International protection persons","2016","South Africa","Number","86"
"International protection persons","2016","Sudan (the)","Number","23"
"International protection persons","2016","Eswatini","Number",""
"International protection persons","2016","Syrian Arab Republic (the)","Number","206"
"International protection persons","2016","Uganda","Number","12"
"International protection persons","2016","Ukraine","Number","12"
"International protection persons","2016","Zimbabwe","Number","236"
"International protection persons","2016","Africa(3)","Number","127"
"International protection persons","2016","Selected European Countries(2)","Number","150"
"International protection persons","2016","Asia(2)","Number","120"
"International protection persons","2016","America(3)","Number","39"
"International protection persons","2016","Other Countries(6)","Number","7"
"International protection persons","2016","All citizenships","Number","2328"
"International protection persons","2017","Afghanistan","Number","76"
"International protection persons","2017","Albania","Number","185"
"International protection persons","2017","Algeria","Number","67"
"International protection persons","2017","Bangladesh","Number","48"
"International protection persons","2017","Botswana","Number","16"
"International protection persons","2017","Congo (the Democratic Republic of the)","Number","102"
"International protection persons","2017","Egypt","Number","17"
"International protection persons","2017","El Salvador","Number",""
"International protection persons","2017","Georgia","Number","177"
"International protection persons","2017","Ghana","Number","22"
"International protection persons","2017","Iraq","Number","65"
"International protection persons","2017","Jordan","Number",""
"International protection persons","2017","Malawi","Number","55"
"International protection persons","2017","Morocco","Number","16"
"International protection persons","2017","Nigeria","Number","190"
"International protection persons","2017","Pakistan","Number","133"
"International protection persons","2017","Palestine, State of","Number","14"
"International protection persons","2017","Somalia","Number","21"
"International protection persons","2017","South Africa","Number","86"
"International protection persons","2017","Sudan (the)","Number","24"
"International protection persons","2017","Eswatini","Number",""
"International protection persons","2017","Syrian Arab Republic (the)","Number","493"
"International protection persons","2017","Uganda","Number",""
"International protection persons","2017","Ukraine","Number","6"
"International protection persons","2017","Zimbabwe","Number","285"
"International protection persons","2017","Africa(3)","Number","118"
"International protection persons","2017","Selected European Countries(2)","Number","104"
"International protection persons","2017","Asia(2)","Number","88"
"International protection persons","2017","America(3)","Number","30"
"International protection persons","2017","Other Countries(6)","Number","24"
"International protection persons","2017","All citizenships","Number","2467"
"International protection persons","2018","Afghanistan","Number","77"
"International protection persons","2018","Albania","Number","213"
"International protection persons","2018","Algeria","Number","66"
"International protection persons","2018","Bangladesh","Number","30"
"International protection persons","2018","Botswana","Number","7"
"International protection persons","2018","Congo (the Democratic Republic of the)","Number","131"
"International protection persons","2018","Egypt","Number","7"
"International protection persons","2018","El Salvador","Number",""
"International protection persons","2018","Georgia","Number","309"
"International protection persons","2018","Ghana","Number","39"
"International protection persons","2018","Iraq","Number","50"
"International protection persons","2018","Jordan","Number",""
"International protection persons","2018","Malawi","Number","64"
"International protection persons","2018","Morocco","Number","10"
"International protection persons","2018","Nigeria","Number","265"
"International protection persons","2018","Pakistan","Number","120"
"International protection persons","2018","Palestine, State of","Number","28"
"International protection persons","2018","Somalia","Number","58"
"International protection persons","2018","South Africa","Number","155"
"International protection persons","2018","Sudan (the)","Number","44"
"International protection persons","2018","Eswatini","Number","14"
"International protection persons","2018","Syrian Arab Republic (the)","Number","515"
"International protection persons","2018","Uganda","Number","10"
"International protection persons","2018","Ukraine","Number","6"
"International protection persons","2018","Zimbabwe","Number","295"
"International protection persons","2018","Africa(3)","Number","161"
"International protection persons","2018","Selected European Countries(2)","Number","62"
"International protection persons","2018","Asia(2)","Number","100"
"International protection persons","2018","America(3)","Number","53"
"International protection persons","2018","Other Countries(6)","Number","15"
