"Statistic Label","Quarter","Migration Flow","Age Group","Nationality","Migration Calculation Method","UNIT","VALUE"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Ireland","Base migration calculation method","Number","6860"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Ireland","Base plus education migration calculation method","Number","2355"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","635"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","592"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Brazil","Base migration calculation method","Number","857"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Brazil","Base plus education migration calculation method","Number","871"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","India","Base migration calculation method","Number","1556"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","India","Base plus education migration calculation method","Number","1590"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Ukraine","Base migration calculation method","Number","4570"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Ukraine","Base plus education migration calculation method","Number","4733"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","All nationalities","Base migration calculation method","Number","23892"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","All nationalities","Base plus education migration calculation method","Number","19114"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","2494"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","2583"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","2972"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","2808"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Other nationalities (3)","Base migration calculation method","Number","3948"
"Estimated migration flows","2022Q3","Inward migration - All","0 - 24 years","Other nationalities (3)","Base plus education migration calculation method","Number","3582"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","Ireland","Base migration calculation method","Number","4440"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","Ireland","Base plus education migration calculation method","Number","3513"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","453"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","433"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","Brazil","Base migration calculation method","Number","2169"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","Brazil","Base plus education migration calculation method","Number","2162"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","India","Base migration calculation method","Number","2483"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","India","Base plus education migration calculation method","Number","2482"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","Ukraine","Base migration calculation method","Number","2375"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","Ukraine","Base plus education migration calculation method","Number","2375"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","All nationalities","Base migration calculation method","Number","21749"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","All nationalities","Base plus education migration calculation method","Number","20665"
"Estimated migration flows","2022Q3","Inward migration - All","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","2536"
