"Statistic Label","Year","Sex","Nationality","UNIT","VALUE"
"Population Estimates using Administrative Data","2021","Both sexes","Australian","Number","435"
"Population Estimates using Administrative Data","2021","Both sexes","Bulgarian","Number","1146"
"Population Estimates using Administrative Data","2021","Both sexes","Brazilian","Number","2183"
"Population Estimates using Administrative Data","2021","Both sexes","Chinese","Number","1430"
"Population Estimates using Administrative Data","2021","Both sexes","Czech","Number","327"
"Population Estimates using Administrative Data","2021","Both sexes","German","Number","920"
"Population Estimates using Administrative Data","2021","Both sexes","Spanish","Number","2606"
"Population Estimates using Administrative Data","2021","Both sexes","French","Number","1284"
"Population Estimates using Administrative Data","2021","Both sexes","UK","Number","5627"
"Population Estimates using Administrative Data","2021","Both sexes","Croatian","Number","1244"
"Population Estimates using Administrative Data","2021","Both sexes","Hungarian","Number","542"
"Population Estimates using Administrative Data","2021","Both sexes","Irish","Number","81166"
"Population Estimates using Administrative Data","2021","Both sexes","Indian","Number","9056"
"Population Estimates using Administrative Data","2021","Both sexes","Italian","Number","1946"
"Population Estimates using Administrative Data","2021","Both sexes","Lithuanian","Number","1180"
"Population Estimates using Administrative Data","2021","Both sexes","Latvian","Number","805"
"Population Estimates using Administrative Data","2021","Both sexes","Nigerian","Number","1314"
"Population Estimates using Administrative Data","2021","Both sexes","Dutch","Number","350"
"Population Estimates using Administrative Data","2021","Both sexes","Other EU28","Number","1038"
"Population Estimates using Administrative Data","2021","Both sexes","Other nationalities","Number","8039"
"Population Estimates using Administrative Data","2021","Both sexes","Filipino","Number","927"
"Population Estimates using Administrative Data","2021","Both sexes","Pakistani","Number","1012"
"Population Estimates using Administrative Data","2021","Both sexes","Polish","Number","4240"
"Population Estimates using Administrative Data","2021","Both sexes","Portuguese","Number","1259"
"Population Estimates using Administrative Data","2021","Both sexes","Romanian","Number","8291"
"Population Estimates using Administrative Data","2021","Both sexes","Slovak","Number","721"
"Population Estimates using Administrative Data","2021","Both sexes","Ukrainian","Number",""
"Population Estimates using Administrative Data","2021","Both sexes","American (US)","Number","1666"
"Population Estimates using Administrative Data","2021","Both sexes","South African","Number","1197"
"Population Estimates using Administrative Data","2021","Both sexes","Not stated","Number","0"
"Population Estimates using Administrative Data","2021","Both sexes","All nationalities","Number","141953"
"Population Estimates using Administrative Data","2021","Male","Australian","Number","231"
"Population Estimates using Administrative Data","2021","Male","Bulgarian","Number","638"
"Population Estimates using Administrative Data","2021","Male","Brazilian","Number","926"
"Population Estimates using Administrative Data","2021","Male","Chinese","Number","696"
"Population Estimates using Administrative Data","2021","Male","Czech","Number","157"
"Population Estimates using Administrative Data","2021","Male","German","Number","453"
"Population Estimates using Administrative Data","2021","Male","Spanish","Number","1179"
"Population Estimates using Administrative Data","2021","Male","French","Number","639"
"Population Estimates using Administrative Data","2021","Male","UK","Number","3128"
"Population Estimates using Administrative Data","2021","Male","Croatian","Number","707"
"Population Estimates using Administrative Data","2021","Male","Hungarian","Number","291"
"Population Estimates using Administrative Data","2021","Male","Irish","Number","42065"
"Population Estimates using Administrative Data","2021","Male","Indian","Number","4478"
"Population Estimates using Administrative Data","2021","Male","Italian","Number","1061"
"Population Estimates using Administrative Data","2021","Male","Lithuanian","Number","678"
"Population Estimates using Administrative Data","2021","Male","Latvian","Number","424"
"Population Estimates using Administrative Data","2021","Male","Nigerian","Number","759"
"Population Estimates using Administrative Data","2021","Male","Dutch","Number","185"
"Population Estimates using Administrative Data","2021","Male","Other EU28","Number","538"
"Population Estimates using Administrative Data","2021","Male","Other nationalities","Number","3899"
"Population Estimates using Administrative Data","2021","Male","Filipino","Number","414"
"Population Estimates using Administrative Data","2021","Male","Pakistani","Number","553"
"Population Estimates using Administrative Data","2021","Male","Polish","Number","2272"
"Population Estimates using Administrative Data","2021","Male","Portuguese","Number","775"
"Population Estimates using Administrative Data","2021","Male","Romanian","Number","4989"
"Population Estimates using Administrative Data","2021","Male","Slovak","Number","377"
"Population Estimates using Administrative Data","2021","Male","Ukrainian","Number",""
"Population Estimates using Administrative Data","2021","Male","American (US)","Number","681"
"Population Estimates using Administrative Data","2021","Male","South African","Number","582"
"Population Estimates using Administrative Data","2021","Male","Not stated","Number","0"
"Population Estimates using Administrative Data","2021","Male","All nationalities","Number","73776"
"Population Estimates using Administrative Data","2021","Female","Australian","Number","204"
"Population Estimates using Administrative Data","2021","Female","Bulgarian","Number","508"
"Population Estimates using Administrative Data","2021","Female","Brazilian","Number","1257"
"Population Estimates using Administrative Data","2021","Female","Chinese","Number","734"
"Population Estimates using Administrative Data","2021","Female","Czech","Number","170"
"Population Estimates using Administrative Data","2021","Female","German","Number","467"
"Population Estimates using Administrative Data","2021","Female","Spanish","Number","1427"
"Population Estimates using Administrative Data","2021","Female","French","Number","645"
"Population Estimates using Administrative Data","2021","Female","UK","Number","2499"
"Population Estimates using Administrative Data","2021","Female","Croatian","Number","537"
"Population Estimates using Administrative Data","2021","Female","Hungarian","Number","251"
"Population Estimates using Administrative Data","2021","Female","Irish","Number","39101"
"Population Estimates using Administrative Data","2021","Female","Indian","Number","4578"
"Population Estimates using Administrative Data","2021","Female","Italian","Number","885"
"Population Estimates using Administrative Data","2021","Female","Lithuanian","Number","502"
"Population Estimates using Administrative Data","2021","Female","Latvian","Number","381"
"Population Estimates using Administrative Data","2021","Female","Nigerian","Number","555"
"Population Estimates using Administrative Data","2021","Female","Dutch","Number","165"
"Population Estimates using Administrative Data","2021","Female","Other EU28","Number","500"
"Population Estimates using Administrative Data","2021","Female","Other nationalities","Number","4140"
"Population Estimates using Administrative Data","2021","Female","Filipino","Number","513"
"Population Estimates using Administrative Data","2021","Female","Pakistani","Number","459"
"Population Estimates using Administrative Data","2021","Female","Polish","Number","1968"
"Population Estimates using Administrative Data","2021","Female","Portuguese","Number","484"
"Population Estimates using Administrative Data","2021","Female","Romanian","Number","3302"
"Population Estimates using Administrative Data","2021","Female","Slovak","Number","344"
"Population Estimates using Administrative Data","2021","Female","Ukrainian","Number",""
"Population Estimates using Administrative Data","2021","Female","American (US)","Number","985"
"Population Estimates using Administrative Data","2021","Female","South African","Number","615"
"Population Estimates using Administrative Data","2021","Female","Not stated","Number","0"
"Population Estimates using Administrative Data","2021","Female","All nationalities","Number","68177"
"Population Estimates using Administrative Data","2022","Both sexes","Australian","Number","562"
"Population Estimates using Administrative Data","2022","Both sexes","Bulgarian","Number","1467"
"Population Estimates using Administrative Data","2022","Both sexes","Brazilian","Number","6858"
"Population Estimates using Administrative Data","2022","Both sexes","Chinese","Number","1256"
"Population Estimates using Administrative Data","2022","Both sexes","Czech","Number","515"
"Population Estimates using Administrative Data","2022","Both sexes","German","Number","1267"
"Population Estimates using Administrative Data","2022","Both sexes","Spanish","Number","4361"
"Population Estimates using Administrative Data","2022","Both sexes","French","Number","1717"
"Population Estimates using Administrative Data","2022","Both sexes","UK","Number","6966"
"Population Estimates using Administrative Data","2022","Both sexes","Croatian","Number","1341"
"Population Estimates using Administrative Data","2022","Both sexes","Hungarian","Number","720"
"Population Estimates using Administrative Data","2022","Both sexes","Irish","Number","95942"
"Population Estimates using Administrative Data","2022","Both sexes","Indian","Number","11293"
"Population Estimates using Administrative Data","2022","Both sexes","Italian","Number","3502"
"Population Estimates using Administrative Data","2022","Both sexes","Lithuanian","Number","1337"
"Population Estimates using Administrative Data","2022","Both sexes","Latvian","Number","913"
"Population Estimates using Administrative Data","2022","Both sexes","Nigerian","Number","1638"
"Population Estimates using Administrative Data","2022","Both sexes","Dutch","Number","576"
"Population Estimates using Administrative Data","2022","Both sexes","Other EU28","Number","1799"
"Population Estimates using Administrative Data","2022","Both sexes","Other nationalities","Number","15389"
"Population Estimates using Administrative Data","2022","Both sexes","Filipino","Number","1068"
"Population Estimates using Administrative Data","2022","Both sexes","Pakistani","Number","1330"
"Population Estimates using Administrative Data","2022","Both sexes","Polish","Number","4617"
"Population Estimates using Administrative Data","2022","Both sexes","Portuguese","Number","2320"
"Population Estimates using Administrative Data","2022","Both sexes","Romanian","Number","9340"
"Population Estimates using Administrative Data","2022","Both sexes","Slovak","Number","715"
"Population Estimates using Administrative Data","2022","Both sexes","Ukrainian","Number","36932"
"Population Estimates using Administrative Data","2022","Both sexes","American (US)","Number","1622"
"Population Estimates using Administrative Data","2022","Both sexes","South African","Number","1207"
"Population Estimates using Administrative Data","2022","Both sexes","Not stated","Number","0"
"Population Estimates using Administrative Data","2022","Both sexes","All nationalities","Number","218570"
"Population Estimates using Administrative Data","2022","Male","Australian","Number","276"
"Population Estimates using Administrative Data","2022","Male","Bulgarian","Number","870"
"Population Estimates using Administrative Data","2022","Male","Brazilian","Number","3389"
"Population Estimates using Administrative Data","2022","Male","Chinese","Number","584"
"Population Estimates using Administrative Data","2022","Male","Czech","Number","276"
"Population Estimates using Administrative Data","2022","Male","German","Number","636"
"Population Estimates using Administrative Data","2022","Male","Spanish","Number","2097"
"Population Estimates using Administrative Data","2022","Male","French","Number","881"
"Population Estimates using Administrative Data","2022","Male","UK","Number","3924"
"Population Estimates using Administrative Data","2022","Male","Croatian","Number","799"
"Population Estimates using Administrative Data","2022","Male","Hungarian","Number","392"
"Population Estimates using Administrative Data","2022","Male","Irish","Number","50638"
"Population Estimates using Administrative Data","2022","Male","Indian","Number","6009"
"Population Estimates using Administrative Data","2022","Male","Italian","Number","1955"
"Population Estimates using Administrative Data","2022","Male","Lithuanian","Number","783"
"Population Estimates using Administrative Data","2022","Male","Latvian","Number","503"
"Population Estimates using Administrative Data","2022","Male","Nigerian","Number","951"
"Population Estimates using Administrative Data","2022","Male","Dutch","Number","313"
"Population Estimates using Administrative Data","2022","Male","Other EU28","Number","987"
"Population Estimates using Administrative Data","2022","Male","Other nationalities","Number","8289"
"Population Estimates using Administrative Data","2022","Male","Filipino","Number","492"
