"Statistic Label","Census Year","Sex","Religion","Towns by Size","UNIT","VALUE"
"Population","2022","Both sexes","All religions","Tullow, Co Carlow","Number","5138"
"Population","2022","Both sexes","All religions","Carlow, Counties Carlow & Laois","Number","27351"
"Population","2022","Both sexes","All religions","Muinebeag (Bagenalstown), Co Carlow","Number","2945"
"Population","2022","Both sexes","All religions","Dublin city and suburbs, Counties Dublin & Meath","Number","1263219"
"Population","2022","Both sexes","All religions","Saggart, Co Dublin","Number","4573"
"Population","2022","Both sexes","All religions","Rathcoole, Co Dublin","Number","5792"
"Population","2022","Both sexes","All religions","Newcastle, Co Dublin","Number","4526"
"Population","2022","Both sexes","All religions","Rush, Co Dublin","Number","10875"
"Population","2022","Both sexes","All religions","Skerries, Co Dublin","Number","10743"
"Population","2022","Both sexes","All religions","Portmarnock, Co Dublin","Number","10750"
"Population","2022","Both sexes","All religions","Donabate, Co Dublin","Number","9669"
"Population","2022","Both sexes","All religions","Malahide, Co Dublin","Number","18608"
"Population","2022","Both sexes","All religions","Lusk, Co Dublin","Number","8806"
"Population","2022","Both sexes","All religions","Balrothery, Co Dublin","Number","2282"
"Population","2022","Both sexes","All religions","Balbriggan, Co Dublin","Number","24322"
"Population","2022","Both sexes","All religions","Kinsealy-Drinan, Co Dublin","Number","7526"
"Population","2022","Both sexes","All religions","Swords, Co Dublin","Number","40776"
"Population","2022","Both sexes","All religions","Leixlip, Co Kildare","Number","16733"
"Population","2022","Both sexes","All religions","Celbridge, Co Kildare","Number","20601"
"Population","2022","Both sexes","All religions","Kill, Co Kildare","Number","3818"
"Population","2022","Both sexes","All religions","Maynooth, Co Kildare","Number","17259"
"Population","2022","Both sexes","All religions","Naas, Co Kildare","Number","26180"
"Population","2022","Both sexes","All religions","Sallins, Co Kildare","Number","6269"
"Population","2022","Both sexes","All religions","Kilcock, Counties Kildare & Meath","Number","8674"
"Population","2022","Both sexes","All religions","Clane, Co Kildare","Number","8152"
"Population","2022","Both sexes","All religions","Kilcullen, Co Kildare","Number","3815"
"Population","2022","Both sexes","All religions","Prosperous, Co Kildare","Number","2413"
"Population","2022","Both sexes","All religions","Newbridge, Co Kildare","Number","24366"
"Population","2022","Both sexes","All religions","Castledermot, Co Kildare","Number","1685"
"Population","2022","Both sexes","All religions","Allenwood, Co Kildare","Number","1685"
"Population","2022","Both sexes","All religions","Kildare, Co Kildare","Number","10302"
"Population","2022","Both sexes","All religions","Derrinturn, Co Kildare","Number","1837"
"Population","2022","Both sexes","All religions","Athy, Co Kildare","Number","11035"
"Population","2022","Both sexes","All religions","Rathangan, Co Kildare","Number","3263"
"Population","2022","Both sexes","All religions","Monasterevin, Co Kildare","Number","5307"
"Population","2022","Both sexes","All religions","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Number","1506"
"Population","2022","Both sexes","All religions","Thomastown, Co Kilkenny","Number","2305"
"Population","2022","Both sexes","All religions","Kilkenny, Co Kilkenny","Number","27184"
"Population","2022","Both sexes","All religions","Callan, Co Kilkenny","Number","2678"
"Population","2022","Both sexes","All religions","Portarlington, Counties Laois & Offaly","Number","9288"
"Population","2022","Both sexes","All religions","Portlaoise, Co Laois","Number","23494"
"Population","2022","Both sexes","All religions","Mountmellick, Co Laois","Number","4905"
"Population","2022","Both sexes","All religions","Abbeyleix, Co Laois","Number","1897"
"Population","2022","Both sexes","All religions","Mountrath, Co Laois","Number","2070"
"Population","2022","Both sexes","All religions","Edgeworthstown, Co Longford","Number","2199"
"Population","2022","Both sexes","All religions","Ballymahon, Co Longford","Number","1714"
"Population","2022","Both sexes","All religions","Longford, Co Longford","Number","10952"
"Population","2022","Both sexes","All religions","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","1733"
"Population","2022","Both sexes","All religions","Carlingford, Co Louth","Number","1528"
"Population","2022","Both sexes","All religions","Clogherhead, Co Louth","Number","2275"
"Population","2022","Both sexes","All religions","Termonfeckin, Co Louth","Number","1983"
